Inicio GRADUACAO,Fim GRADUACAO,Inicio MESTRADO,Fim MESTRADO,Inicio DOUTORADO,Fim DOUTORADO,Inicio POS-DOUTORADO,Fim POS-DOUTORADO,Pesquisador,Departamento,Nome de Citação,Titulo do artigo,Ano de Publicação,País de publicação,DOI,Titulo do periódico/revista,ISSN,Volume,Fascículo,Série,Página inicial,Página final,Local de publicação,Autores,Inicio,Data
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",MELATONIN MODULATES AUTOPHAGY AND INFLAMMATION PROTECTING HUMAN PLACENTAL TROPHOBLAST FROM HYPOXIA/REOXYGENATION,2018,,10.1111/jpi.12520,JOURNAL OF PINEAL RESEARCH,7423098,65,,,e12520,,,"SAGRILLO-FAGUNDES, LUCAS ;ASSUNÇÃO SALUSTIANO, EUGÊNIA M. ;RUANO, RODRIGO ;Markus, Regina P. ;VAILLANCOURT, CATHY",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",SITE-SPECIFIC REPROGRAMMING OF MACROPHAGE RESPONSIVENESS TO BACTERIAL LIPOPOLYSACCHARIDE IN OBESITY,2019,,10.3389/fimmu.2019.01496,Frontiers in Immunology,16643224,10,,,1496,,,"KOMEGAE, EVILIN N. ;FONSECA, MONIQUE T. ;Da Silveira Cruz-Machado, Sanseray ;TURATO, WALTER M. ;FILGUEIRAS, LUCIANO R. ;Markus, Regina P. ;STEINER, ALEXANDRE A.",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",PIP4K2A AND PIP4K2C TRANSCRIPT LEVELS ARE ASSOCIATED WITH CYTOGENETIC RISK AND SURVIVAL OUTCOMES IN ACUTE MYELOID LEUKEMIA,2019,,10.1016/j.cancergen.2019.04.002,Cancer Genetics,22107762,233-234,,,56,66,,"LIMA, KELI ;COELHO-SILVA, JUAN LUIZ ;KINKER, GABRIELA SARTI ;PEREIRA-MARTINS, DIEGO ANTONIO ;TRAINA, FABIOLA ;FERNANDES, P. A. C. M. ;MARKUS, R. P.;Markus, Regina P.;Markus, Regina P;Markus, R P;Markus, Regina Pekelmann;Markus, R.;MARKUS, REGINA;Markus, R.P. ;LUCENA-ARAUJO, ANTONIO ROBERTO ;MACHADO-NETO, JOÃO AGOSTINHO",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.","MELATONIN AND LEISHMANIA AMAZONENSIS INFECTION ALTERED MIR-294, MIR-30E, AND MIR-302D IMPACTING ON TNF, MCP-1, AND NOS2 EXPRESSION",2019,,10.3389/fcimb.2019.00060,Frontiers in Cellular and Infection Microbiology,22352988,9,,,60,,,"FERNANDES, JULIANE CRISTINA RIBEIRO ;AOKI, JULIANA IDE ;MAIA ACUÑA, STEPHANIE ;ZAMPIERI, RICARDO ANDRADE ;MARKUS, R. P.;Markus, Regina P.;Markus, Regina P;Markus, R P;Markus, Regina Pekelmann;Markus, R.;MARKUS, REGINA;Markus, R.P. ;FLOETER-WINTER, L. M. ;MUXEL, SANDRA MARCIA",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",A REPRESENTATIVE METALLOPROTEASE INDUCES PGE2 SYNTHESIS IN FIBROBLAST-LIKE SYNOVIOCYTES VIA THE NF-&#954;B/COX-2 PATHWAY WITH AMPLIFICATION BY IL-1&#946; AND THE EP4 RECEPTOR,2020,,10.1038/s41598-020-59095-z,Scientific Reports,20452322,10,,1,32629,,,"VIANA, MARIANA N. ;LEIGUEZ, ELBIO ;GUTIÉRREZ, JOSÉ M. ;RUCAVADO, ALEXANDRA ;Markus, Regina P. ;Marçola, Marina ;TEIXEIRA, CATARINA ;FERNANDES, CRISTINA M.",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",NEUROPROTECTIVE EFFECTS OF MELATONIN AGAINST NEUROTOXICITY INDUCED BY INTRANASAL SODIUM DIMETHYLDITHIOCARBAMATE ADMINISTRATION IN MICE,2020,,10.1016/j.neuro.2020.07.008,NEUROTOXICOLOGY,0161813X,80,,,144,154,,"MACK, JOSIEL MILENO ;PREDIGER, RUI DANIEL ;DE MENEZES MOURA, TAINARA ;BOBINSKI, FRANCIANE ;MARTINS, DANIEL FERNANDES ;CUNHA, RODRIGO A. ;WALZ, ROGER ;FERNANDES, P. A. C. M. ;MARKUS, R. P.;Markus, Regina P.;Markus, Regina P;Markus, R P;Markus, Regina Pekelmann;Markus, R.;MARKUS, REGINA;Markus, R.P. ;DAFRE, ALCIR LUIZ",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",IMMUNE-PINEAL AXIS PROTECTS RAT LUNGS EXPOSED TO POLLUTED AIR,2020,,10.1111/jpi.12636,JOURNAL OF PINEAL RESEARCH,7423098,68,,3,e12636,,,"CARVALHO'SOUSA, CLAUDIA EMANUELE ;Fernandes, Pedro A. ;DA SILVEIRA CRUZ'MACHADO, SANSERAY ;MARKUS, R. P. ;PEREIRA, ELIANA P. ;KINKER, GABRIELA S. ;VERAS, MARIANA ;BARBOSA'NUNES, FERNANDA P. ;MARTINS, JOILSON O. ;SALDIVA, PAULO H.N. ;REITER, RUSSEL J.",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",RHYTHMIC EXPRESSION OF THE MELATONERGIC BIOSYNTHETIC PATHWAY AND ITS DIFFERENTIAL MODULATION IN VITRO BY LPS AND IL10 IN BONE MARROW AND SPLEEN,2020,,10.1038/s41598-020-61652-5,Scientific Reports,20452322,10,,1,4799,,,"CÓRDOBA-MORENO, MARLINA O. ;DE SOUZA, EWERTON DA SILVA ;QUILES, CAROLINE L. ;DOS SANTOS-SILVA, DÉBORA ;KINKER, GABRIELA S. ;MARKUS, R. P. ;Fernandes, Pedro A.",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",MT1 AND MT2 MELATONIN RECEPTORS PLAY OPPOSITE ROLES IN BRAIN CANCER PROGRESSION,2021,,10.1007/s00109-020-02023-5,JOURNAL OF MOLECULAR MEDICINE-JMM,9462716,2021,,,J. mol. med.,,,"KINKER, G. S. ;Santos, T. G. ;MARKUS, R. P. ;Fernandes, P. A. C. M. ;OSTROWSKI, L. H. ;RIBEIRO, P. A. C. ;CHANOCH, R. ;MUXEL, S. M. ;TIROSH, I. ;SPADONI, G. ;RIVARA, S. ;Martins, V. R.",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",HORMONAL DAILY VARIATION CO-VARIES WITH IMMUNITY IN CAPTIVE MALE BULLFROGS (LITHOBATES CATESBEIANUS),2021,,10.1016/j.ygcen.2020.113702,GENERAL AND COMPARATIVE ENDOCRINOLOGY,166480,303,,,113702,,,"TITON, STEFANNY CHRISTIE MONTEIRO ;Markus, Regina P. ;TITON JUNIOR, BRAZ ;ASSIS, VANIA REGINA ;VASCONCELOS-TEIXEIRA, RONYELLE ;GARCIA NETO, PATRÍCIO GETÚLIO ;LIMA, ALAN SIQUEIRA ;FERREIRA, LETÍCIA DE FRANÇA ;FERNANDES, PEDRO A. ;GOMES, FERNANDO RIBEIRO",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",AMYLOID &NBSP; PEPTIDE DIRECTLY IMPAIRS PINEAL GLAND MELATONIN SYNTHESIS AND MELATONIN RECEPTOR SIGNALING THROUGH THE ERK PATHWAY,2015,,10.1096/fj.14-265678,The FASEB Journal,8926638,29,,,2,17,,"CECON, E. ;CHEN, M. ;MARCOLA, M. ;FERNANDES, P. A. C. ;Jockers, R. ;MARKUS, R. P.",,
1967.0,1970.0,,,1971,1974,1989.0,1989.0,116,Fisiologia,"MARKUS, R. P.",STAT1-NF&#954;B CROSSTALK TRIGGERED BY INTERFERON-GAMMA REGULATES NORADRENALINE-INDUCED PINEAL HORMONAL PRODUCTION.,2019,,,JOURNAL OF PINEAL RESEARCH,7423098,,,,,,,"BARBOSA-LIMA, L. ;Muxel, Sandra M. ;KINKER, GABRIELA S ;Carvalho-Sousa C E ;Cruz-Machado, Sanseray da Silveira ;Markus, R.P. ;FERNANDES, P. A. C.",,
1988.0,1991.0,1992.0,1995.0,1995,1999,2000.0,2003.0,117,Fisiologia,"MOREIRA, R. G.","ESTUDOS BIOMETRICOS E MORFOLOGICOS DOS PRIMEIROS ESTAGIOS JUVENIS DE PETROLISTHES ARMATUS (GIBBES, PORCELLANIDAE) EM LABORATORIO.",1996,Brasil,,Revista Brasileira de Biologia,347108,56,2,,231,243,Rio de Janeiro,"MOREIRA, R. G.;Moreira, Renata G.;Moreira, Renata Guimarães;Guimarães Moreira, Renata;GUIMARÃES MOREIRA, R.;Moreira,RG;RENATA, GUIMARÃES MOREIRA;GUIMARÃES MOREIRA, RENATA;Renata G Moreira;Moreira, Renata Guimaraes;Moreira, RG;Moreira RG;Moreira;MOREIRA, R.G.;GUIMARÃES MOREIRA, R;Moreira, R.G.W. ;BROSSI-GARCIA, A. L.",,
1988.0,1991.0,1992.0,1995.0,1995,1999,2000.0,2003.0,117,Fisiologia,"MOREIRA, R. G.","INFLUENCE OF UROTENSIN II ON PLASMATIC AND BILIAR IONIC AND OSMOTIC CONCENTRATION OF PROCHILODUS SCROFA STEINDACHNER, 1881.",1997,Brasil,,Boletim Técnico do CEPTA,1031112,10,,,19,34,Pirassununga,"MOREIRA, R. G.;Moreira, Renata G.;Moreira, Renata Guimarães;Guimarães Moreira, Renata;GUIMARÃES MOREIRA, R.;Moreira,RG;RENATA, GUIMARÃES MOREIRA;GUIMARÃES MOREIRA, RENATA;Renata G Moreira;Moreira, Renata Guimaraes;Moreira, RG;Moreira RG;Moreira;MOREIRA, R.G.;GUIMARÃES MOREIRA, R;Moreira, R.G.W. ;MIMURA, Olga Martins ;LIMA, R. L. V. A. E. ;BERNARDINO, Geraldo",,
1988.0,1991.0,1992.0,1995.0,1995,1999,2000.0,2003.0,117,Fisiologia,"MOREIRA, R. G.","CONCENTRACAO IONICA PLASMATICA E BILIAR DO &QUOT;CURIMBATA&QUOT; PROCHILODUS SCROFA STEINDACHNER (OSTEICHTHYES, CHARACIFORMES) EM RELACAO AOS ESTADIOS DE REPOUSO E MADURO DO CICLO REPRODUTIVO",1998,,10.1590/S0101-81751998000100019,Revista Brasileira de Zoologia (Impresso) (Cessou em 2008. Cont. ISSN 1984-4670 Zoologia (Curitiba. Impresso)),1018175,15,1,,211,217,Curitiba/PR,"Moreira, Renata Guimarães ;MIMURA, Olga Martins ;Lima, Rossana L.V. Andrade ;BERNARDINO, Geraldo",,
1988.0,1991.0,1992.0,1995.0,1995,1999,2000.0,2003.0,117,Fisiologia,"MOREIRA, R. G.",ALTERACOES SAZONAIS HEPATICAS EM SALMINUS MAXILLOSUS EM AMBIENTE NATURAL.,2000,Brasil,,Boletim Técnico do CEPTA,1031112,13,,,47,61,Pirassununga,"MOREIRA, R. G.;Moreira, Renata G.;Moreira, Renata Guimarães;Guimarães Moreira, Renata;GUIMARÃES MOREIRA, R.;Moreira,RG;RENATA, GUIMARÃES MOREIRA;GUIMARÃES MOREIRA, RENATA;Renata G Moreira;Moreira, Renata Guimaraes;Moreira, RG;Moreira RG;Moreira;MOREIRA, R.G.;GUIMARÃES MOREIRA, R;Moreira, R.G.W. ;VENTURIERI, R. L. L. ;BERNARDINO, Geraldo ;MIMURA, Olga Martins",,
1988.0,1991.0,1992.0,1995.0,1995,1999,2000.0,2003.0,117,Fisiologia,"MOREIRA, R. G.",LIPID AND PROTEIN ALTERATIONS IN THE LIVER AND PLASMA OF THE MIGRATORY TELEOST SALMINUS MAXILLOSUS DURING THE REPRODUCTIVE CYCLE,2002,,,Journal of Aquaculture in the Tropics,9700846,17,3,,209,219,Calcutá,"MOREIRA, R. G.;Moreira, Renata G.;Moreira, Renata Guimarães;Guimarães Moreira, Renata;GUIMARÃES MOREIRA, R.;Moreira,RG;RENATA, GUIMARÃES MOREIRA;GUIMARÃES MOREIRA, RENATA;Renata G Moreira;Moreira, Renata Guimaraes;Moreira, RG;Moreira RG;Moreira;MOREIRA, R.G.;GUIMARÃES MOREIRA, R;Moreira, R.G.W. ;VENTURIERI, R. L. L. ;MIMURA, Olga Martins",,
1988.0,1991.0,1992.0,1995.0,1995,1999,2000.0,2003.0,117,Fisiologia,"MOREIRA, R. G.","EFFECT OF DIFFERENT SOURCES OF DIETARY OMEGA-3 FATTY ACIDS ON GENERAL PERFORMANCE AND FATTY ACID PROFILES OF THIGH, BREAST, LIVER AND PORTAL BLOOD OF BROILERS",2005,,10.1002/jsfa.1948,Journal of the Science of Food and Agriculture,225142,85,2,,219,226,,"SCHREINER, Matthias ;HULAN, Howard ;RAZZAZI-FAZELI, E. ;BOHM, J. ;MOREIRA, R. G.;Moreira, Renata G.;Moreira, Renata Guimarães;Guimarães Moreira, Renata;GUIMARÃES MOREIRA, R.;Moreira,RG;RENATA, GUIMARÃES MOREIRA;GUIMARÃES MOREIRA, RENATA;Renata G Moreira;Moreira, Renata Guimaraes;Moreira, RG;Moreira RG;Moreira;MOREIRA, R.G.;GUIMARÃES MOREIRA, R;Moreira, R.G.W.",,
